Comment,Designator,Footprint,LCSC Part #
1M,IC1 R11,R0603,
1k,R15,R0603,
2.2k bead,L1,0603,
10K,R1,R0603,
10k,R12 R14 R16,R0603,
10n,C5 C6,C0603K,
18p,C11 C12,C0603K,
20MHZ,Q1,HC49UP,
22uf,C1 C2 C8,PANASONIC_C,
100k,R2 R3 R4 R5 R6 R7 R8 R9 R10 R13,R0603,
100n,C3 C7 C10 C13 C14,C0603K,
470n,C4,C0603K,
3904,T1 T2,SOT23-BEC,
ATMEGA328P-AU,IC4,TQFP32-08,
MB1S,D1,SOIC-4,
MCP6002,IC3,SO08,
REG1117 5.0V,IC2,SOT223,
